Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status;Game_Sequence;Calculated_Probability
1;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;6.0;Perdido;0,0,0,0,0;0.0%
2;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;6.0;0.0;Ganado;1,1,1,1,1;0.00%
3;0.0;0.0;0.0;0.0;0.0;1.0;0.0;;;;;;;1.0;6.0;Perdido;0,0,0,0,1,0;0.0%
4;0.0;0.0;0.0;0.0;1.0;0.0;0.0;;;;;;;1.0;6.0;Perdido;0,0,0,1,0,0;0.0%
5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;;;;;;;1.0;6.0;Perdido;0,0,1,0,0,0;0.0%
6;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;;;;;;1.0;6.0;Perdido;0,1,0,0,0,0;0.0%
7;0.0;1.0;0.0;0.0;0.0;0.0;0.0;;;;;;;1.0;6.0;Perdido;1,0,0,0,0,0;0.0%
8;0.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;6.0;1.0;Ganado;1,1,1,1,1,1;0.9261%
9;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;1.0;6.0;Perdido;0,0,0,0,0,0;0.00%
1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;;;;;;;6.0;1.0;Ganado;0,1,1,1,1,1;0.00%
11;1.0;1.0;0.0;1.0;1.0;1.0;1.0;;;;;;;6.0;1.0;Ganado;1,0,1,1,1,1;0.00%
12;1.0;1.0;1.0;0.0;1.0;1.0;1.0;;;;;;;6.0;1.0;Ganado;1,1,0,1,1,1;0.00%
13;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;;;;;;6.0;1.0;Ganado;1,1,1,0,1,1;0.00%
14;1.0;1.0;1.0;1.0;1.0;0.0;1.0;;;;;;;6.0;1.0;Ganado;1,1,1,1,0,1;0.00%
15;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;;;;;2.0;6.0;Perdido;0,0,0,0,1,1,0;0.0%
16;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;2.0;6.0;Perdido;0,0,0,1,0,1,0;0.0%
17;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;;;;;;2.0;6.0;Perdido;0,0,0,1,1,0,0;0.0%
18;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;;;;;;2.0;6.0;Perdido;0,0,1,0,0,1,0;0.0%
19;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;;;;;;2.0;6.0;Perdido;0,0,1,0,1,0,0;0.0%
20;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;;;;;;2.0;6.0;Perdido;0,0,1,1,0,0,0;0.0%
21;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;;;;;;2.0;6.0;Perdido;0,1,0,0,0,1,0;0.0%
22;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;;;;;;2.0;6.0;Perdido;0,1,0,0,1,0,0;0.0%
23;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;;;;;;2.0;6.0;Perdido;0,1,0,1,0,0,0;0.0%
24;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;;;;;;2.0;6.0;Perdido;0,1,1,0,0,0,0;0.0%
