Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status;Game_Sequence;Calculated_Probability
1;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;6.0;Perdido;0,0,0,0,0;0.00%
2;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;6.0;0.0;Ganado;1,1,1,1,1;3.087%
3;0.0;0.0;0.0;0.0;0.0;1.0;0.0;;;;;;;1.0;6.0;Perdido;0,0,0,0,1,0;0.00%
4;0.0;0.0;0.0;0.0;1.0;0.0;0.0;;;;;;;1.0;6.0;Perdido;0,0,0,1,0,0;0.00%
5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;;;;;;;1.0;6.0;Perdido;0,0,1,0,0,0;0.00%
6;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;;;;;;1.0;6.0;Perdido;0,1,0,0,0,0;0.00%
7;0.0;1.0;0.0;0.0;0.0;0.0;0.0;;;;;;;1.0;6.0;Perdido;1,0,0,0,0,0;0.00%
8;0.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;6.0;1.0;Ganado;1,1,1,1,1,1;0.00%
9;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;1.0;6.0;Perdido;0,0,0,0,0,0;0.0%
1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;;;;;;;6.0;1.0;Ganado;0,1,1,1,1,1;0.3969%
11;1.0;1.0;0.0;1.0;1.0;1.0;1.0;;;;;;;6.0;1.0;Ganado;1,0,1,1,1,1;2.1609%
12;1.0;1.0;1.0;0.0;1.0;1.0;1.0;;;;;;;6.0;1.0;Ganado;1,1,0,1,1,1;0.3969%
13;1.0;1.0;1.0;1.0;0.0;1.0;1.0;;;;;;;6.0;1.0;Ganado;1,1,1,0,1,1;2.1609%
14;1.0;1.0;1.0;1.0;1.0;0.0;1.0;;;;;;;6.0;1.0;Ganado;1,1,1,1,0,1;0.3969%
