J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;W/L;Prob_Acumulada
0.7;0.30000000000000004;0.7;0.30000000000000004;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0
0.30000000000000004;0.7;0.30000000000000004;0.7;0.30000000000000004;0.7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.009261000000000002
0.7;0.30000000000000004;0.7;0.30000000000000004;0.7;0.7;0.7;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0
0.7;0.30000000000000004;0.7;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.7;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0
0.7;0.30000000000000004;0.7;0.7;0.7;0.30000000000000004;0.7;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0
0.7;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.7;0.30000000000000004;0.7;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0
0.7;0.7;0.7;0.30000000000000004;0.7;0.30000000000000004;0.7;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0
0.7;0.7;0.30000000000000004;0.7;0.30000000000000004;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.006482700000000001
0.30000000000000004;0.30000000000000004;0.7;0.30000000000000004;0.7;0.30000000000000004;0.7;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0
0.30000000000000004;0.30000000000000004;0.30000000000000004;0.7;0.30000000000000004;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0011907000000000007
0.30000000000000004;0.7;0.7;0.7;0.30000000000000004;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.006482700000000001
0.30000000000000004;0.7;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0011907000000000007
0.30000000000000004;0.7;0.30000000000000004;0.7;0.7;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.006482700000000001
0.30000000000000004;0.7;0.30000000000000004;0.7;0.30000000000000004;0.30000000000000004;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0011907000000000007
0.7;0.30000000000000004;0.7;0.30000000000000004;0.7;0.7;0.30000000000000004;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.0;0.0
0.7;0.30000000000000004;0.7;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.0;0.0
0.7;0.30000000000000004;0.7;0.30000000000000004;0.30000000000000004;0.7;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.0;0.0
0.7;0.30000000000000004;0.7;0.7;0.7;0.30000000000000004;0.30000000000000004;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.0;0.0
0.7;0.30000000000000004;0.7;0.7;0.7;0.7;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.0;0.0
0.7;0.30000000000000004;0.7;0.7;0.30000000000000004;0.30000000000000004;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.0;0.0
0.7;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.7;0.30000000000000004;0.30000000000000004;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.0;0.0
0.7;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.7;0.7;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.0;0.0
0.7;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.0;0.0
0.7;0.30000000000000004;0.30000000000000004;0.7;0.7;0.30000000000000004;0.7;0.30000000000000004;1.0;1.0;1.0;1.0;1.0;0.0;0.0
