Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status
1;0;0;0;0;0;0;;;;;;;;0;6;Perdido
2;1;1;1;1;1;1;;;;;;;;6;0;Ganado
3;0;0;0;0;0;1;0;;;;;;;1;6;Perdido
4;0;0;0;0;1;0;0;;;;;;;1;6;Perdido
5;0;0;0;1;0;0;0;;;;;;;1;6;Perdido
6;0;0;1;0;0;0;0;;;;;;;1;6;Perdido
7;0;1;0;0;0;0;0;;;;;;;1;6;Perdido
8;0;1;1;1;1;1;1;;;;;;;6;1;Ganado
9;1;0;0;0;0;0;0;;;;;;;1;6;Perdido
1;1;0;1;1;1;1;1;;;;;;;6;1;Ganado
11;1;1;0;1;1;1;1;;;;;;;6;1;Ganado
12;1;1;1;0;1;1;1;;;;;;;6;1;Ganado
13;1;1;1;1;0;1;1;;;;;;;6;1;Ganado
14;1;1;1;1;1;0;1;;;;;;;6;1;Ganado
15;0;0;0;0;0;1;1;0;;;;;;2;6;Perdido
16;0;0;0;0;1;0;1;0;;;;;;2;6;Perdido
17;0;0;0;0;1;1;0;0;;;;;;2;6;Perdido
18;0;0;0;1;0;0;1;0;;;;;;2;6;Perdido
19;0;0;0;1;0;1;0;0;;;;;;2;6;Perdido
20;0;0;0;1;1;0;0;0;;;;;;2;6;Perdido
21;0;0;1;0;0;0;1;0;;;;;;2;6;Perdido
22;0;0;1;0;0;1;0;0;;;;;;2;6;Perdido
23;0;0;1;0;1;0;0;0;;;;;;2;6;Perdido
24;0;0;1;1;0;0;0;0;;;;;;2;6;Perdido
25;0;0;1;1;1;1;1;1;;;;;;6;2;Ganado
26;0;1;0;0;0;0;1;0;;;;;;2;6;Perdido
27;0;1;0;0;0;1;0;0;;;;;;2;6;Perdido
28;0;1;0;0;1;0;0;0;;;;;;2;6;Perdido
29;0;1;0;1;0;0;0;0;;;;;;2;6;Perdido
30;0;1;0;1;1;1;1;1;;;;;;6;2;Ganado
31;0;1;1;0;0;0;0;0;;;;;;2;6;Perdido
32;0;1;1;0;1;1;1;1;;;;;;6;2;Ganado
33;0;1;1;1;0;1;1;1;;;;;;6;2;Ganado
34;0;1;1;1;1;0;1;1;;;;;;6;2;Ganado
35;0;1;1;1;1;1;0;1;;;;;;6;2;Ganado
36;1;0;0;0;0;0;1;0;;;;;;2;6;Perdido
37;1;0;0;0;0;1;0;0;;;;;;2;6;Perdido
38;1;0;0;0;1;0;0;0;;;;;;2;6;Perdido
39;1;0;0;1;0;0;0;0;;;;;;2;6;Perdido
40;1;0;0;1;1;1;1;1;;;;;;6;2;Ganado
41;1;0;1;0;0;0;0;0;;;;;;2;6;Perdido
42;1;0;1;0;1;1;1;1;;;;;;6;2;Ganado
43;1;0;1;1;0;1;1;1;;;;;;6;2;Ganado
44;1;0;1;1;1;0;1;1;;;;;;6;2;Ganado
45;1;0;1;1;1;1;0;1;;;;;;6;2;Ganado
46;1;1;0;0;0;0;0;0;;;;;;2;6;Perdido
47;1;1;0;0;1;1;1;1;;;;;;6;2;Ganado
48;1;1;0;1;0;1;1;1;;;;;;6;2;Ganado
49;1;1;0;1;1;0;1;1;;;;;;6;2;Ganado
50;1;1;0;1;1;1;0;1;;;;;;6;2;Ganado
51;1;1;1;0;0;1;1;1;;;;;;6;2;Ganado
52;1;1;1;0;1;0;1;1;;;;;;6;2;Ganado
53;1;1;1;0;1;1;0;1;;;;;;6;2;Ganado
54;1;1;1;1;0;0;1;1;;;;;;6;2;Ganado
55;1;1;1;1;0;1;0;1;;;;;;6;2;Ganado
56;1;1;1;1;1;0;0;1;;;;;;6;2;Ganado
57;0;0;0;0;0;1;1;1;0;;;;;3;6;Perdido
58;0;0;0;0;1;0;1;1;0;;;;;3;6;Perdido
59;0;0;0;0;1;1;0;1;0;;;;;3;6;Perdido
60;0;0;0;0;1;1;1;0;0;;;;;3;6;Perdido
61;0;0;0;1;0;0;1;1;0;;;;;3;6;Perdido
62;0;0;0;1;0;1;0;1;0;;;;;3;6;Perdido
63;0;0;0;1;0;1;1;0;0;;;;;3;6;Perdido
64;0;0;0;1;1;0;0;1;0;;;;;3;6;Perdido
65;0;0;0;1;1;0;1;0;0;;;;;3;6;Perdido
66;0;0;0;1;1;1;0;0;0;;;;;3;6;Perdido
67;0;0;0;1;1;1;1;1;1;;;;;6;3;Ganado
68;0;0;1;0;0;0;1;1;0;;;;;3;6;Perdido
69;0;0;1;0;0;1;0;1;0;;;;;3;6;Perdido
70;0;0;1;0;0;1;1;0;0;;;;;3;6;Perdido
71;0;0;1;0;1;0;0;1;0;;;;;3;6;Perdido
72;0;0;1;0;1;0;1;0;0;;;;;3;6;Perdido
73;0;0;1;0;1;1;0;0;0;;;;;3;6;Perdido
74;0;0;1;0;1;1;1;1;1;;;;;6;3;Ganado
75;0;0;1;1;0;0;0;1;0;;;;;3;6;Perdido
76;0;0;1;1;0;0;1;0;0;;;;;3;6;Perdido
77;0;0;1;1;0;1;0;0;0;;;;;3;6;Perdido
78;0;0;1;1;0;1;1;1;1;;;;;6;3;Ganado
