Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status;Game_Sequence
1;0;0;0;0;0;0;;;;;;;;0;6;Perdido;0,0
2;1;1;1;1;1;1;;;;;;;;6;0;Ganado;1,1
3;0;0;0;0;0;1;0.0;;;;;;;1;6;Perdido;0,1,0
4;0;0;0;0;1;0;0.0;;;;;;;1;6;Perdido;1,0,0
5;0;0;0;1;0;0;0.0;;;;;;;1;6;Perdido;0,0,0
6;0;0;1;0;0;0;0.0;;;;;;;1;6;Perdido;0,0,0
7;0;1;0;0;0;0;0.0;;;;;;;1;6;Perdido;0,0,0
8;0;1;1;1;1;1;1.0;;;;;;;6;1;Ganado;1,1,1
9;1;0;0;0;0;0;0.0;;;;;;;1;6;Perdido;0,0,0
1;1;0;1;1;1;1;1.0;;;;;;;6;1;Ganado;1,1,1
11;1;1;0;1;1;1;1.0;;;;;;;6;1;Ganado;1,1,1
12;1;1;1;0;1;1;1.0;;;;;;;6;1;Ganado;1,1,1
13;1;1;1;1;0;1;1.0;;;;;;;6;1;Ganado;0,1,1
14;1;1;1;1;1;0;1.0;;;;;;;6;1;Ganado;1,0,1
15;0;0;0;0;0;1;1.0;0.0;;;;;;2;6;Perdido;0,1,1,0
16;0;0;0;0;1;0;1.0;0.0;;;;;;2;6;Perdido;1,0,1,0
17;0;0;0;0;1;1;0.0;0.0;;;;;;2;6;Perdido;1,1,0,0
18;0;0;0;1;0;0;1.0;0.0;;;;;;2;6;Perdido;0,0,1,0
19;0;0;0;1;0;1;0.0;0.0;;;;;;2;6;Perdido;0,1,0,0
20;0;0;0;1;1;0;0.0;0.0;;;;;;2;6;Perdido;1,0,0,0
21;0;0;1;0;0;0;1.0;0.0;;;;;;2;6;Perdido;0,0,1,0
22;0;0;1;0;0;1;0.0;0.0;;;;;;2;6;Perdido;0,1,0,0
23;0;0;1;0;1;0;0.0;0.0;;;;;;2;6;Perdido;1,0,0,0
24;0;0;1;1;0;0;0.0;0.0;;;;;;2;6;Perdido;0,0,0,0
25;0;0;1;1;1;1;1.0;1.0;;;;;;6;2;Ganado;1,1,1,1
26;0;1;0;0;0;0;1.0;0.0;;;;;;2;6;Perdido;0,0,1,0
27;0;1;0;0;0;1;0.0;0.0;;;;;;2;6;Perdido;0,1,0,0
28;0;1;0;0;1;0;0.0;0.0;;;;;;2;6;Perdido;1,0,0,0
29;0;1;0;1;0;0;0.0;0.0;;;;;;2;6;Perdido;0,0,0,0
30;0;1;0;1;1;1;1.0;1.0;;;;;;6;2;Ganado;1,1,1,1
31;0;1;1;0;0;0;0.0;0.0;;;;;;2;6;Perdido;0,0,0,0
32;0;1;1;0;1;1;1.0;1.0;;;;;;6;2;Ganado;1,1,1,1
33;0;1;1;1;0;1;1.0;1.0;;;;;;6;2;Ganado;0,1,1,1
34;0;1;1;1;1;0;1.0;1.0;;;;;;6;2;Ganado;1,0,1,1
